Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-09-22;35,3918;35,937;35,0937;35,4429;;
2020-09-21;36,133;36,2009;34,7247;35,0132;;
2020-09-18;36,8884;37,032;35,9334;36,432;;
2020-09-17;35,2462;36,8907;35,2123;36,7212;;
2020-09-16;34,7544;35,6054;34,6954;35,4621;;
2020-09-15;33,2324;34,3424;33,1063;34,1911;;
2020-09-14;33,6898;33,7403;33,0835;33,454;;
2020-09-11;33,6005;34,0138;33,2209;33,5667;;
2020-09-10;34,3067;34,4755;33,8172;33,8932;;
2020-09-09;33,7552;35,0123;33,7042;34,7235;;
2020-09-08;35,4603;35,5876;33,3305;33,7123;;
2020-09-07;35,6225;35,8931;35,2926;35,5463;;
2020-09-04;36,8857;37,6288;35,7203;36,0159;;
2020-09-03;37,4503;37,4757;36,5022;37,2979;;
2020-09-02;38,7404;38,8247;37,324;37,3324;;
2020-09-01;38,1497;38,5751;37,9912;38,0829;;
2020-08-31;38,8107;38,9782;38,0905;38,1323;;
2020-08-28;37,8347;38,0025;37,5745;37,7843;;
2020-08-27;38,6498;38,8616;37,7012;38,1332;;
2020-08-26;39,0534;39,1127;38,6123;38,8243;;
2020-08-25;38,3105;38,9961;38,2089;38,8437;;
2020-08-24;37,6467;38,0772;37,5876;38,0012;;
2020-08-21;38,0746;38,1256;37,0125;37,4713;;
2020-08-20;38,0084;38,0759;37,1224;37,7553;;
2020-08-19;37,7441;38,1296;37,5262;38,0206;;
2020-08-18;38,0144;38,2664;37,5693;38,1152;;
2020-08-17;38,0326;38,2266;37,5348;38,2266;;
2020-08-14;37,9328;38,1021;37,628;37,7466;;
2020-08-13;38,3166;38,5447;37,8518;38,0292;;
2020-08-12;38,238;38,6458;38,0596;38,5269;;
2020-08-11;38,3603;38,8526;37,919;37,9869;;
2020-08-10;38,1025;38,4936;37,958;38,4171;;
2020-08-07;38,0384;38,2838;37,4545;37,5645;;
2020-08-06;38,3349;38,5966;37,8451;38,0562;;
2020-08-05;37,6919;38,9742;37,5991;38,1643;;
2020-08-04;37,4331;38,1045;36,7446;38,011;;
2020-08-03;36,6792;37,9243;36,5768;37,8646;;
2020-07-31;36,4619;36,6475;36,3099;36,5631;;
2020-07-30;36,9412;37,1285;35,2636;36,2599;;
2020-07-29;37,0746;37,5011;37,0149;37,2708;;
2020-07-28;37,2365;37,2792;36,6817;36,7671;;
2020-07-27;36,6667;37,2279;36,0374;36,9303;;
2020-07-24;37,0865;37,8274;36,828;37,1468;;
2020-07-23;38,5859;38,7242;37,7388;37,8598;;
2020-07-22;38,2536;38,314;37,649;38,1586;;
2020-07-21;38,1019;39,238;38,0058;38,6437;;
2020-07-20;37,2816;37,9193;37,0021;37,9193;;
2020-07-17;37,8194;37,9856;37,2856;37,7844;;
2020-07-16;38,26;38,3827;37,9183;38,0235;;
2020-07-15;38,0811;38,1335;37,3121;38,0636;;
2020-07-14;36,9231;37,9868;36,8352;37,6703;;
2020-07-13;37,7527;38,2646;37,3731;38,1411;;
2020-07-10;37,2206;38,5066;36,6265;38,4622;;
2020-07-09;38,0533;38,3707;36,9776;37,2421;;
2020-07-08;38,1712;38,5345;37,9674;38,375;;
2020-07-07;37,6882;38,4942;37,5819;38,3702;;
2020-07-06;38,4018;38,5607;38,3135;38,4018;;
2020-07-03;37,9989;38,2573;37,6693;38,1326;;
2020-07-02;37,4712;38,056;37,2586;37,9497;;
2020-07-01;37,7857;37,9107;36,6161;37,5446;;
2020-06-30;37,0066;37,1138;36,4887;36,7387;;
2020-06-29;35,8915;37,1322;35,4661;36,9018;;
2020-06-26;36,7163;37,2603;35,9226;36,3863;;
2020-06-25;35,4464;37,00;35,2232;36,6964;;
2020-06-24;37,961;37,9965;35,1152;35,8156;;
2020-06-23;38,1958;38,8319;37,542;37,5508;;
2020-06-22;37,7062;38,2146;37,2692;38,1521;;
2020-06-19;37,5022;38,2872;36,6191;37,5825;;
2020-06-18;36,2948;36,9988;36,1433;36,8562;;
2020-06-17;36,1467;36,9213;35,8173;36,2803;;
2020-06-16;34,9664;36,8412;34,9664;36,116;;
2020-06-15;33,3067;35,1728;33,2089;35,0751;;
2020-06-12;33,0502;34,8903;32,8733;34,1561;;
2020-06-11;35,5922;35,9094;33,4156;34,0941;;
2020-06-10;35,7011;36,4747;35,2527;36,4396;;
2020-06-09;36,1874;36,2139;35,2754;35,8952;;
2020-06-08;38,0416;38,0948;36,1099;36,2694;;
2020-06-05;35,6222;37,4492;35,5869;37,4051;;
2020-06-04;34,8622;35,5556;34,7022;35,4667;;
2020-06-03;35,9836;36,0282;34,6168;35,3493;;
2020-06-02;34,7145;35,4215;34,5803;35,2515;;
2020-05-29;30,9896;31,4745;30,5585;31,4655;;
2020-05-28;30,9368;32,6344;30,5102;32,2803;;
2020-05-27;32,3264;32,6904;31,1437;31,726;;
2020-05-26;32,9841;33,4396;32,0911;32,5285;;
2020-05-25;32,1815;32,9789;32,0532;32,5848;;
2020-05-22;31,5664;32,2726;30,9519;32,0341;;
2020-05-21;32,7636;33,6273;32,4636;32,6818;;
2020-05-20;31,6937;33,2177;31,3743;32,4512;;
2020-05-19;32,2831;32,3105;31,2329;31,5525;;
2020-05-18;31,2777;32,9764;30,973;32,2655;;
2020-05-15;29,7092;30,3297;28,9035;30,2186;;
2020-05-14;27,5204;28,9103;27,4185;28,6694;;
2020-05-13;26,869;28,0736;26,5747;26,8874;;
2020-05-12;27,6754;28,2925;27,3071;27,7123;;
2020-05-11;27,6238;29,065;27,476;27,5222;;
2020-05-08;27,7967;28,0919;27,2249;27,9996;;
2020-05-07;27,2002;29,528;27,126;27,7381;;
2020-05-06;28,6111;29,5642;26,5291;27,0195;;
2020-05-05;26,8837;28,5345;26,4226;28,2671;;
2020-05-04;23,4692;24,8492;23,3595;24,4654;;
2020-04-30;22,2049;23,6852;22,1865;22,9588;;
2020-04-29;19,7288;21,9701;19,2031;20,9924;;
2020-04-28;17,8266;19,5826;17,7623;18,7828;;
2020-04-27;18,7154;19,3236;17,9598;18,4482;;
2020-04-24;19,9167;20,7685;18,9907;20,5093;;
2020-04-23;19,9406;21,3981;19,8292;20,6461;;
2020-04-22;15,9658;20,6497;15,6529;18,6344;;
2020-04-21;19,5995;20,2362;16,213;16,4713;;
2020-04-20;25,2026;25,2855;23,9227;24,1436;;
2020-04-17;25,6169;26,5654;25,3959;26,418;;
2020-04-16;25,3582;26,6256;24,9449;25,2388;;
2020-04-15;26,6532;26,8091;24,8922;25,6902;;
2020-04-14;28,4685;29,0067;26,7901;26,8266;;
2020-04-09;31,177;33,4959;29,6586;29,7322;;
2020-04-08;29,8777;30,034;29,013;29,6201;;
2020-04-07;30,859;31,3551;29,6922;29,6922;;
2020-04-06;31,3317;31,3502;29,5524;30,5162;;
2020-04-03;28,076;32,3505;28,076;31,3027;;
2020-04-02;24,9221;30,9004;23,8034;26,8384;;
2020-04-01;22,9609;23,5278;22,4396;22,7963;;
2020-03-31;21,3582;21,7871;20,5732;20,7466;;
2020-03-30;20,9806;20,9987;19,603;19,7934;;
2020-03-27;23,7497;23,777;22,0097;22,3558;;
2020-03-26;23,996;25,1525;23,9049;24,1235;;
2020-03-25;25,4641;25,5842;23,8478;25,2979;;
2020-03-24;26,0445;26,2197;24,5781;24,947;;
2020-03-23;23,7967;25,3918;23,2959;25,1971;;
2020-03-20;28,5608;28,6075;25,021;25,4413;;
2020-03-19;25,1273;27,0253;23,4145;26,5346;;
2020-03-18;25,7911;25,8643;22,398;23,6876;;
2020-03-17;27,1535;27,8547;25,9607;26,0517;;
2020-03-16;27,5074;27,9197;26,5215;27,0144;;
2020-03-13;31,0699;32,2226;29,737;30,5836;;
2020-03-12;30,0623;30,5961;28,8968;29,3683;;
2020-03-11;31,916;32,3836;31,1838;31,6778;;
2020-03-10;32,1598;33,5645;31,5979;33,0026;;
2020-03-09;31,4944;31,7999;29,5566;30,3684;;
2020-03-06;43,4368;43,4898;39,97;40,561;;
2020-03-05;45,9819;46,3216;44,7484;44,8467;;
2020-03-04;46,5708;47,6764;45,8517;46,4899;;
2020-03-03;47,3509;48,3584;46,2445;46,2805;;
2020-03-02;46,3226;47,0689;44,929;46,898;;
2020-02-28;46,5792;46,7887;45,6227;45,9506;;
2020-02-27;48,1302;48,4495;46,4976;47,0175;;
2020-02-26;50,0782;50,8322;48,7632;48,7816;;
2020-02-25;52,3524;52,417;50,7472;50,8395;;
2020-02-24;52,2832;52,3849;50,9336;51,6546;;
2020-02-21;54,0691;54,5135;53,421;54,0691;;
2020-02-20;54,7081;55,5792;54,569;55,0046;;
2020-02-19;53,8333;55,0093;53,6944;54,787;;
2020-02-18;52,4963;53,2452;52,034;53,1897;;
2020-02-17;52,7919;53,2626;52,6627;53,1795;;
2020-02-14;52,1214;53,0806;51,9185;52,684;;
2020-02-13;50,8144;52,2867;50,5567;51,615;;
2020-02-12;50,6139;51,576;50,3299;51,1636;;
2020-02-11;49,3716;50,1697;49,2799;49,6376;;
2020-02-10;49,5023;49,7671;48,4613;48,5161;;
2020-02-07;50,1504;50,5242;49,3846;49,6581;;
2020-02-06;50,359;50,568;49,2775;49,7046;;
2020-02-05;49,1518;51,2383;49,0973;50,5126;;
2020-02-04;49,3936;50,3802;49,2035;49,3302;;
2020-02-03;50,9308;51,3103;49,0331;49,4578;;
2020-01-31;53,2935;53,5107;52,3978;52,5154;;
2020-01-30;53,314;53,5769;52,3166;52,4889;;
2020-01-29;54,5132;55,1041;53,8133;54,2042;;
2020-01-28;53,6574;54,6025;53,1667;54,0482;;
2020-01-27;54,0317;54,2132;53,0522;53,7687;;
2020-01-24;56,4295;56,502;54,5718;54,8165;;
2020-01-23;56,2528;56,4872;55,2069;55,6217;;
2020-01-22;57,8463;58,0628;56,746;57,188;;
2020-01-21;58,0567;58,5245;57,6158;58,3086;;
2020-01-20;58,8724;59,0979;58,5747;58,7912;;
2020-01-17;58,3543;58,6514;58,0483;58,1473;;
2020-01-16;57,5253;58,161;57,203;57,964;;
2020-01-15;57,6467;58,0057;57,0275;57,4044;;
2020-01-14;57,7508;58,5155;57,5169;58,3356;;
2020-01-13;58,4037;58,6824;57,433;57,9004;;
2020-01-10;58,8495;59,2102;58,4708;58,8856;;
2020-01-09;59,3429;59,4149;58,0648;58,9739;;
2020-01-08;61,6554;62,0423;58,4525;58,4525;;
2020-01-07;61,2513;61,5467;60,5621;61,0455;;
2020-01-06;62,5692;62,7747;61,2292;61,5508;;
2020-01-03;61,2721;62,3127;60,7069;61,1914;;
2020-01-02;59,2603;59,3853;58,6974;58,9922;;
2019-12-31;59,5514;59,5781;59,5158;59,5781;;
2019-12-30;61,0421;61,6498;60,8902;61,1583;;
2019-12-27;61,0598;61,2571;60,5487;61,1046;;
2019-12-23;59,6208;60,0993;59,4673;60,0813;;
2019-12-20;60,0252;60,1153;59,2683;59,5386;;
2019-12-19;59,5304;60,0432;59,3865;59,8273;;
2019-12-18;59,2533;59,7481;58,9744;59,5142;;
2019-12-17;58,6006;59,3532;58,305;59,2457;;
2019-12-16;58,6488;58,909;58,3976;58,613;;
2019-12-13;57,9112;58,8241;57,7143;57,8665;;
2019-12-12;57,4571;58,2473;57,3314;57,7983;;
2019-12-11;57,7427;58,0316;56,8578;57,6524;;
2019-12-10;57,9038;58,4274;57,5607;58,1114;;
2019-12-09;57,8871;58,2393;57,4176;57,9233;;
2019-12-06;57,0308;58,455;56,6252;57,9142;;
2019-12-05;56,7153;57,6077;56,5982;57,157;;
2019-12-04;55,1575;57,3053;55,0672;57,1519;;
2019-12-03;55,1983;55,5686;54,4305;55,135;;
2019-12-02;55,5112;56,3368;55,0939;55,2028;;
2019-11-29;58,0769;58,1406;56,7747;56,8385;;
2019-11-28;57,91;58,1645;57,4012;58,0918;;
2019-11-27;58,3068;58,7065;57,6619;58,2069;;
2019-11-26;57,7223;58,3848;57,559;58,3212;;
2019-11-25;57,8579;57,9578;57,1766;57,8398;;
2019-11-22;57,7229;58,1118;56,9362;57,5421;;
2019-11-21;55,9823;57,7405;55,82;57,4881;;
2019-11-20;54,6523;56,8135;54,4986;56,3885;;
2019-11-19;56,1885;56,4954;54,7711;54,9788;;
