Datum;Erster;Hoch;Tief;Schlusskurs
2020-03-30;0,9006;0,9081;0,8998;0,9052
2020-03-27;0,9061;0,9127;0,8972;0,8981
2020-03-26;0,9191;0,9194;0,9043;0,9059
2020-03-25;0,9247;0,929;0,918;0,919
2020-03-24;0,9305;0,9307;0,9185;0,9247
2020-03-23;0,9333;0,9373;0,924;0,9307
2020-03-20;0,9375;0,94;0,9234;0,9345
2020-03-19;0,9145;0,9385;0,9109;0,9378
2020-03-18;0,9078;0,9256;0,9054;0,915
2020-03-17;0,8952;0,9127;0,8938;0,9078
2020-03-16;0,9007;0,9018;0,89;0,8953
2020-03-13;0,8946;0,9045;0,8912;0,9004
2020-03-12;0,8882;0,9044;0,8824;0,8949
2020-03-11;0,8843;0,8887;0,8798;0,8881
2020-03-10;0,8742;0,8869;0,8742;0,8842
2020-03-09;0,8749;0,8797;0,8709;0,8742
2020-03-06;0,8901;0,8917;0,8807;0,886
2020-03-05;0,8982;0,8991;0,8893;0,8905
2020-03-04;0,8948;0,9012;0,8942;0,8982
2020-03-03;0,8975;0,901;0,8921;0,8952
2020-03-02;0,9044;0,9059;0,8941;0,8978
2020-02-28;0,9089;0,9131;0,9048;0,9068
2020-02-27;0,9189;0,9192;0,9086;0,9088
2020-02-26;0,9191;0,9212;0,9172;0,9189
2020-02-25;0,9214;0,9233;0,9184;0,919
2020-02-24;0,9235;0,9251;0,9198;0,9213
2020-02-21;0,9271;0,9271;0,9206;0,9217
2020-02-20;0,9252;0,9277;0,9242;0,927
2020-02-19;0,9264;0,9274;0,9249;0,9252
2020-02-18;0,9229;0,927;0,9227;0,9264
2020-02-17;0,9228;0,9234;0,9216;0,9227
2020-02-14;0,9225;0,9235;0,9207;0,9233
2020-02-13;0,9198;0,9229;0,9184;0,9226
2020-02-12;0,9159;0,9203;0,9153;0,9198
2020-02-11;0,9164;0,9179;0,9154;0,9159
2020-02-10;0,9132;0,9167;0,9126;0,9165
2020-02-07;0,9107;0,9139;0,9103;0,9136
2020-02-06;0,9091;0,9119;0,9083;0,9107
2020-02-05;0,9054;0,9096;0,9052;0,9091
2020-02-04;0,9041;0,9063;0,9038;0,9055
2020-02-03;0,9023;0,9059;0,902;0,9041
2020-01-31;0,9064;0,9077;0,9013;0,9013
2020-01-30;0,9082;0,9085;0,9059;0,9062
2020-01-29;0,9073;0,9097;0,9068;0,9081
2020-01-28;0,9075;0,9091;0,9071;0,9073
2020-01-27;0,9063;0,9083;0,906;0,9076
2020-01-24;0,9045;0,9074;0,9042;0,907
2020-01-23;0,9014;0,9061;0,9006;0,9046
2020-01-22;0,9023;0,9032;0,9012;0,9015
2020-01-21;0,9013;0,9024;0,8995;0,9023
2020-01-20;0,9012;0,9028;0,9007;0,9011
2020-01-17;0,8979;0,902;0,8975;0,9018
2020-01-16;0,8966;0,8986;0,8952;0,8979
2020-01-15;0,8987;0,8993;0,8958;0,8968
2020-01-14;0,898;0,9005;0,8973;0,8987
2020-01-13;0,8992;0,8998;0,8972;0,8979
2020-01-10;0,9004;0,902;0,8986;0,8993
2020-01-09;0,9003;0,9013;0,8993;0,9004
2020-01-08;0,8969;0,9007;0,8957;0,90
2020-01-07;0,8931;0,8981;0,8931;0,8972
2020-01-06;0,8958;0,8963;0,8924;0,8932
2020-01-03;0,8951;0,8988;0,8945;0,8962
2020-01-02;0,8921;0,8958;0,8918;0,8951
2019-12-31;0,8926;0,8928;0,8898;0,8911
2019-12-30;0,8933;0,8943;0,8912;0,8928
2019-12-27;0,901;0,901;0,8938;0,8947
2019-12-26;0,902;0,9023;0,9002;0,9011
2019-12-24;0,9017;0,9033;0,9014;0,902
2019-12-23;0,9027;0,9033;0,9013;0,9017
2019-12-20;0,899;0,9036;0,8989;0,9027
2019-12-19;0,8996;0,9002;0,8974;0,899
2019-12-18;0,8967;0,90;0,8966;0,8996
2019-12-17;0,8977;0,8985;0,895;0,8966
2019-12-16;0,8986;0,8988;0,8963;0,8975
2019-12-13;0,8945;0,8999;0,8935;0,8993
2019-12-12;0,8983;0,9005;0,893;0,8933
2019-12-11;0,9015;0,9033;0,8973;0,8982
2019-12-10;0,9038;0,9039;0,9011;0,9015
2019-12-09;0,9044;0,9047;0,9027;0,9038
2019-12-06;0,9005;0,9057;0,9001;0,904
2019-12-05;0,9026;0,9026;0,9003;0,9005
2019-12-04;0,9024;0,9036;0,8997;0,9027
