Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-04-14;31,21;31,80;29,37;29,41;;
2020-04-09;33,88;36,40;32,23;32,31;;
2020-04-08;32,48;32,65;31,54;32,20;;
2020-04-07;33,59;34,13;32,32;32,32;;
2020-04-06;33,81;33,83;31,89;32,93;;
2020-04-03;30,28;34,89;30,28;33,76;;
2020-04-02;27,18;33,70;25,96;29,27;;
2020-04-01;25,11;25,73;24,54;24,93;;
2020-03-31;23,40;23,87;22,54;22,73;;
2020-03-30;23,15;23,17;21,63;21,84;;
2020-03-27;26,07;26,10;24,16;24,54;;
2020-03-26;26,35;27,62;26,25;26,49;;
2020-03-25;27,57;27,70;25,82;27,39;;
2020-03-24;28,24;28,43;26,65;27,05;;
2020-03-23;25,66;27,38;25,12;27,17;;
2020-03-20;30,58;30,63;26,79;27,24;;
2020-03-19;27,14;29,19;25,29;28,66;;
2020-03-18;28,20;28,28;24,49;25,90;;
2020-03-17;29,82;30,59;28,51;28,61;;
2020-03-16;30,69;31,15;29,59;30,14;;
2020-03-13;34,50;35,78;33,02;33,96;;
2020-03-12;33,79;34,39;32,48;33,01;;
2020-03-11;36,18;36,71;35,35;35,91;;
2020-03-10;36,63;38,23;35,99;37,59;;
2020-03-09;36,08;36,43;33,86;34,79;;
2020-03-06;49,24;49,30;45,31;45,98;;
2020-03-05;51,44;51,82;50,06;50,17;;
2020-03-04;51,81;53,04;51,01;51,72;;
2020-03-03;52,64;53,76;51,41;51,45;;
2020-03-02;51,52;52,35;49,97;52,16;;
2020-02-28;51,13;51,36;50,08;50,44;;
2020-02-27;52,77;53,12;50,98;51,55;;
2020-02-26;54,46;55,28;53,03;53,05;;
2020-02-25;56,75;56,82;55,01;55,11;;
2020-02-24;56,56;56,67;55,10;55,88;;
2020-02-21;58,40;58,88;57,70;58,40;;
2020-02-20;59,03;59,97;58,88;59,35;;
2020-02-19;58,14;59,41;57,99;59,17;;
2020-02-18;56,78;57,59;56,28;57,53;;
2020-02-17;57,20;57,71;57,06;57,62;;
2020-02-14;56,51;57,55;56,29;57,12;;
2020-02-13;55,22;56,82;54,94;56,09;;
2020-02-12;55,24;56,29;54,93;55,84;;
2020-02-11;53,82;54,69;53,72;54,11;;
2020-02-10;54,21;54,50;53,07;53,13;;
2020-02-07;55,01;55,42;54,17;54,47;;
2020-02-06;55,41;55,64;54,22;54,69;;
2020-02-05;54,18;56,48;54,12;55,68;;
2020-02-04;54,57;55,66;54,36;54,50;;
2020-02-03;56,36;56,78;54,26;54,73;;
2020-01-31;58,90;59,14;57,91;58,04;;
2020-01-30;58,80;59,09;57,70;57,89;;
2020-01-29;59,97;60,62;59,20;59,63;;
2020-01-28;59,05;60,09;58,51;59,48;;
2020-01-27;59,57;59,77;58,49;59,28;;
2020-01-24;62,27;62,35;60,22;60,49;;
2020-01-23;62,39;62,65;61,23;61,69;;
2020-01-22;64,14;64,38;62,92;63,41;;
2020-01-21;64,53;65,05;64,04;64,81;;
2020-01-20;65,26;65,51;64,93;65,17;;
2020-01-17;64,82;65,15;64,48;64,59;;
2020-01-16;64,25;64,96;63,89;64,74;;
2020-01-15;64,23;64,63;63,54;63,96;;
2020-01-14;64,19;65,04;63,93;64,84;;
2020-01-13;64,98;65,29;63,90;64,42;;
2020-01-10;65,27;65,67;64,85;65,31;;
2020-01-09;65,93;66,01;64,51;65,52;;
2020-01-08;68,53;68,96;64,97;64,97;;
2020-01-07;68,43;68,76;67,66;68,20;;
2020-01-06;70,04;70,27;68,54;68,90;;
2020-01-03;68,30;69,46;67,67;68,21;;
2020-01-02;66,33;66,47;65,70;66,03;;
2019-12-31;66,90;66,93;66,86;66,93;;
2019-12-30;68,30;68,98;68,13;68,43;;
2019-12-27;68,10;68,32;67,53;68,15;;
2019-12-23;66,03;66,56;65,86;66,54;;
2019-12-20;66,61;66,71;65,77;66,07;;
2019-12-19;66,18;66,75;66,02;66,51;;
2019-12-18;65,86;66,41;65,55;66,15;;
2019-12-17;65,41;66,25;65,08;66,13;;
2019-12-16;65,37;65,66;65,09;65,33;;
2019-12-13;64,71;65,73;64,49;64,66;;
2019-12-12;63,99;64,87;63,85;64,37;;
2019-12-11;63,95;64,27;62,97;63,85;;
2019-12-10;64,14;64,72;63,76;64,37;;
2019-12-09;64,11;64,50;63,59;64,15;;
2019-12-06;63,27;64,85;62,82;64,25;;
2019-12-05;62,92;63,91;62,79;63,41;;
2019-12-04;61,12;63,50;61,02;63,33;;
2019-12-03;61,11;61,52;60,26;61,04;;
2019-12-02;61,19;62,10;60,73;60,85;;
2019-11-29;63,78;63,85;62,35;62,42;;
2019-11-28;63,73;64,01;63,17;63,93;;
2019-11-27;64,19;64,63;63,48;64,08;;
2019-11-26;63,61;64,34;63,43;64,27;;
2019-11-25;63,69;63,80;62,94;63,67;;
2019-11-22;63,83;64,26;62,96;63,63;;
2019-11-21;62,09;64,04;61,91;63,76;;
2019-11-20;60,44;62,83;60,27;62,36;;
2019-11-19;62,24;62,58;60,67;60,90;;
2019-11-18;63,36;63,46;61,94;62,23;;
2019-11-15;62,45;63,65;61,70;63,40;;
2019-11-14;62,83;63,21;62,13;62,43;;
2019-11-13;61,74;62,73;61,21;62,49;;
2019-11-12;62,43;62,86;61,85;62,11;;
2019-11-11;61,92;62,79;61,56;62,20;;
2019-11-08;61,75;62,71;60,69;62,59;;
2019-11-07;62,07;62,84;61,99;62,17;;
2019-11-06;62,40;63,25;61,60;61,89;;
2019-11-05;62,27;63,16;62,14;62,91;;
2019-11-04;61,51;62,78;61,43;62,15;;
2019-11-01;59,42;61,79;59,40;61,79;;
2019-10-31;60,95;61,15;60,03;60,19;;
2019-10-30;61,72;61,94;60,41;60,56;;
2019-10-29;61,19;61,95;60,63;61,57;;
2019-10-28;61,79;62,38;61,18;61,55;;
2019-10-25;61,52;62,10;60,92;62,05;;
2019-10-24;61,07;61,92;60,61;61,61;;
2019-10-23;59,50;61,31;58,85;61,02;;
2019-10-22;59,34;60,28;59,13;59,61;;
2019-10-21;59,42;59,52;58,26;59,07;;
2019-10-18;59,78;60,30;58,98;59,30;;
2019-10-17;59,09;59,97;58,68;59,86;;
2019-10-16;58,90;59,75;58,35;59,42;;
2019-10-15;59,08;59,67;58,00;58,90;;
2019-10-14;59,70;60,11;58,53;59,25;;
2019-10-11;60,40;60,67;59,37;60,49;;
2019-10-10;58,22;59,35;57,79;59,25;;
2019-10-09;58,06;59,34;57,91;58,30;;
2019-10-08;58,74;58,95;57,36;57,93;;
2019-10-07;58,26;59,69;58,19;58,46;;
2019-10-04;57,83;58,97;57,66;58,34;;
2019-10-03;57,55;57,97;56,15;57,60;;
2019-10-02;59,08;59,24;57,20;57,60;;
2019-10-01;59,41;60,11;58,40;58,95;;
2019-09-30;61,62;61,68;60,70;60,73;;
2019-09-27;62,38;62,74;60,77;61,84;;
2019-09-26;62,23;62,92;61,47;62,68;;
2019-09-25;62,46;62,52;61,21;62,43;;
2019-09-24;64,11;64,36;62,46;62,55;;
2019-09-23;64,58;64,82;63,53;64,43;;
2019-09-20;64,81;65,29;64,04;64,65;;
2019-09-19;63,59;65,57;63,54;64,54;;
2019-09-18;64,67;64,73;63,07;63,48;;
2019-09-17;68,56;69,21;63,80;64,15;;
2019-09-16;65,33;69,64;64,87;67,98;;
2019-09-13;60,24;60,80;59,58;60,27;;
2019-09-12;60,95;61,21;58,94;60,36;;
2019-09-11;62,81;63,25;60,53;61,05;;
2019-09-10;62,65;63,75;62,16;62,45;;
2019-09-09;62,06;63,01;61,61;62,71;;
2019-09-06;60,95;61,87;59,41;61,51;;
2019-09-05;60,58;62,36;60,27;60,81;;
2019-09-04;58,59;60,96;58,25;60,65;;
2019-09-03;58,40;58,47;57,21;58,28;;
2019-09-02;59,15;59,22;58,09;58,60;;
2019-08-30;60,72;61,13;60,23;60,41;;
2019-08-29;60,30;61,19;60,07;61,02;;
2019-08-28;59,90;60,98;59,78;60,43;;
2019-08-27;58,86;59,64;58,46;59,51;;
2019-08-26;59,20;60,12;58,56;58,88;;
2019-08-23;60,16;60,21;58,33;59,08;;
2019-08-22;60,21;60,91;59,47;59,90;;
2019-08-21;60,31;61,40;60,13;60,33;;
2019-08-20;59,74;60,31;58,93;59,97;;
2019-08-19;59,41;59,91;58,74;59,79;;
2019-08-16;58,90;59,50;58,26;58,64;;
2019-08-15;59,34;59,44;57,69;58,26;;
2019-08-14;60,73;60,94;58,23;59,29;;
2019-08-13;58,20;61,51;57,97;61,28;;
2019-08-12;58,45;58,88;57,84;58,49;;
2019-08-09;57,39;59,11;57,33;58,34;;
2019-08-08;57,64;57,92;56,76;57,63;;
2019-08-07;58,75;59,07;55,86;57,35;;
2019-08-06;60,30;60,39;58,82;59,03;;
2019-08-05;60,96;61,51;59,66;59,80;;
2019-08-02;61,71;62,90;61,29;61,36;;
2019-08-01;64,47;64,53;60,01;61,11;;
2019-07-31;65,15;65,38;65,01;65,13;;
2019-07-30;64,18;65,01;63,88;64,87;;
2019-07-29;62,96;63,87;62,92;63,81;;
2019-07-26;63,47;63,94;63,05;63,34;;
2019-07-25;63,34;64,25;63,21;63,27;;
2019-07-24;63,96;64,69;62,63;63,11;;
2019-07-23;63,59;64,07;62,64;63,99;;
2019-07-22;63,37;64,04;62,80;63,45;;
2019-07-19;62,82;63,22;61,84;62,36;;
2019-07-18;63,84;64,44;61,28;62,46;;
2019-07-17;64,63;65,28;63,48;63,57;;
2019-07-16;66,47;67,10;63,84;64,96;;
2019-07-15;66,69;67,47;66,20;66,20;;
2019-07-12;66,96;67,28;66,52;66,82;;
2019-07-11;67,37;67,68;66,41;66,75;;
2019-07-10;65,22;67,12;65,16;66,77;;
2019-07-09;63,98;64,75;63,85;64,32;;
2019-07-08;64,35;65,12;63,75;63,89;;
2019-07-05;63,34;64,52;62,89;64,29;;
2019-07-04;63,11;63,93;62,99;63,17;;
2019-07-03;62,59;63,97;62,07;63,94;;
2019-07-02;65,33;65,37;62,23;62,63;;
2019-07-01;66,57;66,74;64,25;65,14;;
2019-06-28;66,28;66,82;66,12;66,51;;
2019-06-27;66,05;66,79;65,61;66,25;;
2019-06-26;66,13;66,82;65,61;66,28;;
2019-06-25;64,66;65,53;64,32;65,06;;
2019-06-24;65,66;65,66;64,10;64,89;;
2019-06-21;64,96;65,75;64,66;65,34;;
2019-06-20;63,53;64,75;63,09;64,38;;
2019-06-19;62,40;62,51;61,39;62,34;;
2019-06-18;60,42;62,80;60,26;62,31;;
2019-06-17;61,77;62,09;60,74;61,02;;
2019-06-14;61,51;62,58;60,73;62,00;;
2019-06-13;61,96;62,63;60,83;61,29;;
2019-06-12;61,21;61,39;59,58;59,77;;
2019-06-11;62,63;62,78;61,99;62,26;;
2019-06-10;63,56;63,77;62,05;62,31;;
2019-06-07;62,68;63,56;61,76;63,21;;
2019-06-06;60,84;62,38;60,31;62,31;;
2019-06-05;61,55;62,27;0,02;60,62;;
2019-06-04;61,03;62,11;60,22;61,86;;
2019-06-03;62,34;62,85;60,61;60,75;;
2019-05-31;65,92;66,06;64,35;64,56;;
2019-05-30;69,75;69,95;66,29;66,62;;
2019-05-29;69,46;69,65;68,06;69,39;;
2019-05-28;69,83;70,57;69,58;69,81;;
2019-05-27;68,65;70,18;68,52;69,99;;
2019-05-24;68,52;69,13;67,34;69,11;;
2019-05-23;70,51;70,53;67,01;67,93;;
2019-05-22;71,66;72,06;70,39;70,73;;
2019-05-21;72,13;72,49;71,61;72,21;;
2019-05-20;73,19;73,25;71,58;72,07;;
2019-05-17;72,62;73,23;71,80;72,08;;
2019-05-16;72,09;73,33;71,83;72,69;;
2019-05-15;70,95;72,22;70,45;71,97;;
2019-05-14;70,44;71,63;69,92;71,17;;
2019-05-13;71,19;72,58;69,72;69,87;;
2019-05-10;70,87;71,09;70,27;70,63;;
2019-05-09;69,62;70,63;69,52;70,23;;
2019-05-08;70,38;70,69;69,31;70,14;;
2019-05-07;70,93;71,02;69,38;69,55;;
2019-05-06;69,54;71,80;69,54;71,59;;
2019-05-03;70,53;71,53;69,94;70,77;;
2019-05-02;71,70;71,83;69,78;70,45;;
2019-04-30;72,22;73,26;71,98;72,78;;
2019-04-29;71,86;72,51;71,08;72,02;;
2019-04-26;74,10;74,40;71,28;71,67;;
